"_";model;number;motor;motor_number;transmission;transmission_number;bridge_drv;bridge_drv_number;bridge_ctrl;bridge_ctrl_number;shipment;client;consignee;address;equipment;service
1;ПД1,5;0017;Kubota D1803;7ML1035;10VA-00105;21D0108251;20VA-00101;21D0107997;VS20-00001;21D0093265;09.03.2022;ИП Трудников С.В.;ИП Трудников С.В.;"п. Знаменский, \nРесп. Марий Эл";"1. Гидролинии с БРС;\n2. Дополнительеная установка кабины";ООО Промышленная техника
2;ПД5,0;0021;ММЗ Д-243;112890;HF50-VP020;20H0066;HA50-VP010;20H0039;B350655A;KDBAC9685;14.01.2022;"ООО ""ФПК21""";"ООО ""ДЭТ №13""";с. Акуловка, Московская обл.;Стандарт;ООО Силант
3;ПД5,0;0027;ММЗ Д-243;167733;HF50-VP020;20H0070;HA50-VP010;20H0049;B350655A;KDBAH6583;28.04.2022;"ООО ""МНС77""";"ООО ""Мосгоррест""";г. Санкт-Петербург;1. Кабина с отопителем;ООО Промышленная техника
4;ПД3,0;0032;Kubota V3300;2MU2983;10VB-00106;21K0116785;20VB-00102;21K0115910;VS30-00001; 00070422;27.05.2022;"ООО ""ФПК21""";ФРП России;г. Челябинск, в/ч ;"1. Кабина с отопителем;\n2. Медицинская аптечка;\n3. Проблесковый маячок;\n4. Знак аварийной остановки;\n5. Огнетушитель порошковый 5п;";ООО Промышленная техника
5;ПД3,0;0003;Kubota V3300;2ME0639;10VB-00106;21D0108264;20VB-00102;21D0107988;VS30-00001;0821004;30.09.2021;"ООО ""Ранский ЛПХ""";"ООО ""Ранский ЛПХ""";п. Опарино, Кировская обл.;Стандарт;ООО Силант
6;ПГ1,5;0016;Nissan K21;049827;10VA-00105;21D0108256;20VA-00101;21D0108000;VS20-00001;21D0093244;20.12.2021;"ООО ""Комплект-Поставка""";"ООО ""ГП СПБ""";г. Санкт-Петербург;"1. Кабина с отопителем;\n2. Каретка смещения + гидролинии;";ООО Промышленная техника
7;ПД2,0;0039;MMZ-4D;000015;HF30-VP010;22B0001;HA30-02020;22B3364;VS20-00001;00010622;18.07.2022;"ООО ""РМК""";ФСН России;г. Москва;"1. Высота подъёма вил - 4 500мм;\n2. Кабина с отопителем;\n3. Шины суперэластик;\n4. Прибор комбинированный КД8235;";ООО Промышленная техника
8;ПД2,5;0045;MMZ-4D;000003;HF30-VP010;22B0008;HA30-02020;22B3370;VS20-00001;00200622;30.08.2022;"АО ""Зандер""";АО Зандер;г. Краснодар;"1. Кабина с отопителем;\n2. Каретка бокового смещения 1050мм;n\3. Блокировка реверса хода;\n4. Высота подъёма вил - 4800мм;\n5. Прибор комбинированный КД8235;";ООО Промышленная техника
9;ПД5,0;0019;ММЗ Д-243;112893;HF50-VP020;20H0069;HA50-VP010;20H0041;B350655A;KDBAC9687;28.01.2022;"ООО ""ФПК21""";"АО ""Т-Минус""";"г. Первоуральск, \nСвердловской обл.";"1. Высота подъёма вил - 4 500мм;\n2. Центральный цилиндр подъёма ;\n3. Кабина с отопителем;\n4. Стрела безблочная Г-образная;";ООО ФНС
10;ПД3,0;0008;Kubota V3300;2ME0753;10VB-00106;21D0108269;20VB-00102;21D0108011;VS30-00001;0821005;30.09.2021;"ООО ""Комплект-Поставка""";"ООО ""ГП Краснодар""";г. Краснодар;"1. Кабина с отопителем;";ООО ФНС
