machine;date;mileage;unit;description;recovery;repair_units;repair_date;downtime
0017;01.04.2022;123;Двигатель;повышенный шум;Ремонт узла;прокладки, прочие материалы;08.04.2022;7
0017;02.04.2022;129;Трансмиссия;проскальзывание;Ремонт узла;шестерня ведущая;07.04.2022;5
0017;30.03.2022;112;Трансмиссия;блокировка колес;Замена узла;;31.03.2022;1
0021;06.02.2022;123;Ведущий мост;блокировка колес;Ремонт узла;колесо;11.02.2022;5
0027;05.05.2022;38;Управляемый мост;разрушение подшипника;Ремонт узла;подшипник;07.05.2022;2
0032;17.06.2022;112;Управляемый мост;разрушение подшипника;Ремонт узла;подшипник;25.06.2022;8
0003;26.10.2021;142;Управляемый мост;разрушение подшипника;Ремонт узла;подшипник;02.11.2021;7
0016;31.12.2021;61;Подъёмное устройство;разрушение верхнего ролика;Ремонт узла;ролик;05.01.2022;5
0039;28.07.2022;56;Двигатель;течь масла;Ремонт узла;прокладки;01.08.2022;4
0045;07.09.2022;47;Гидросистема;течь масла;Ремонт узла;прокладки;09.09.2022;2
0019;01.02.2022;22;Двигатель;не заводится;Замена узла;;10.02.2022;9
0008;11.10.2021;59;Двигатель;течь масла;Ремонт узла;прокладки;21.10.2021;10
